,item,updated
15,FLASK 500 Piece,2018-08-19 17:29:00
14,FIRST AID KIT 100 Piece,2018-08-19 17:28:00
36,Toilet Brush 50 Piece,2018-08-19 17:27:00
23,MASK 500 Piece,2018-08-19 17:26:00
11,COTTON 100 Piece,2018-08-19 17:25:00
6,BROOM STICK  30 Piece,2018-08-19 17:24:00
13,Dettol 80 Piece,2018-08-19 17:23:00
8,Cleaning Gloves  100 Piece,2018-08-19 17:22:00
37,Toilet Cleaning Liquid 30 Litre,2018-08-19 17:21:00
25,Milk Powder 5 Kg,2018-08-19 17:19:00
38,Towels (thorth) 300 Piece,2018-08-19 17:15:00
22,Lungis 200 Piece,2018-08-19 17:13:00
20,Jam Bottles 120 Piece,2018-08-19 17:11:00
3,Blankets 350 Piece,2018-08-19 17:09:00
40,Undergarments - Ladies 550 Piece,2018-08-19 17:08:00
21,Leggings 150 Piece,2018-08-19 17:07:00
18,"Gents T-Shirt (L, XL, XXL) 550 Piece",2018-08-19 17:04:00
0,Baby Food 60 Kg,2018-08-19 17:03:00
17,Gents innerwear 550 Piece,2018-08-19 17:03:00
28,payar 150 Kg,2018-08-19 17:00:00
4,Bottled Drinking Water 1750 Piece,2018-08-19 16:59:00
24,Mats 125 Piece,2018-08-19 16:58:00
30,Rice 350 Kg,2018-08-19 16:50:00
27,paripp 100 Kg,2018-08-19 12:25:00
44,Water Can 500 Piece,2018-08-19 11:49:00
31,Scissors 50 Piece,2018-08-18 13:24:00
10,Coriander powder 20 Kg,2018-08-18 13:24:00
7,Chilli Powder 20 Kg,2018-08-18 13:23:00
12,Cough Syrup Bottles 50 Piece,2018-08-18 13:23:00
19,Green Gram (Cherupayar) 30 Kg,2018-08-18 13:21:00
2,Bengal Gram (Kadala Payar) 30 Kg,2018-08-18 13:20:00
32,Semolina (Rava) 30 Kg,2018-08-18 13:19:00
5,Bread Packets 200 Piece,2018-08-18 13:19:00
1,Bathroom Buckets 100 Piece,2018-08-18 13:17:00
29,Plastic Bathroom Mugs 300 Piece,2018-08-18 13:16:00
9,Cooking Oil 50 Litre,2018-08-18 13:15:00
26,Paper Plates 2000 Piece,2018-08-18 13:13:00
16,Flip Flops (Slippers) 400 Piece,2018-08-18 13:13:00
33,Shaving Set 200 Piece,2018-08-18 13:13:00
39,Track pants 200 Piece,2018-08-18 13:12:00
43,Vest (Baniyan) 300 Piece,2018-08-18 13:12:00
34,Skirts for girls 100 Piece,2018-08-18 13:11:00
35,Sweaters 100 Piece,2018-08-18 13:11:00
41,"Undergarments for Men (size-80,85,70,75,90) 1000 Piece",2018-08-18 13:10:00
42,"Undergarments for Women (size-80,85,70,75,90) 1000 Piece",2018-08-18 13:10:00
