,item,updated
1,Baby Dress 100 Piece,2018-08-19 12:54:00
13,napkins 300 Piece,2018-08-19 12:54:00
16,"Undergarments (Men/Women/Kids- S,M,L,XL) 50 Piece",2018-08-19 12:34:00
14,Rubber bands 1000 Piece,2018-08-19 11:50:00
10,Food Packing materials 1000 Piece,2018-08-19 11:48:00
12,Lentles 100 Kg,2018-08-19 07:04:00
5,Cleaning Lotion 100 Piece,2018-08-19 07:04:00
9,Emergency Medicine 100 Piece,2018-08-19 07:04:00
0,Atta flour 100 Piece,2018-08-19 07:03:00
4,Chapathy 500 Piece,2018-08-18 23:57:00
3,Bread Packets 500 Piece,2018-08-18 23:57:00
7,"Clothes (Men - S,M,L) 75 Piece",2018-08-18 23:56:00
6,"Clothes (Kids - S,M,L) 100 Piece",2018-08-18 23:55:00
8,"Clothes (women - S,M,L) 100 Piece",2018-08-18 23:53:00
15,Sanitary Napkin 500 Piece,2018-08-18 23:52:00
2,Bottled Drinking Water 1000 Litre,2018-08-18 23:41:00
11,Gas Cylinder 5 Piece,2018-08-18 23:39:00
