,item,updated
5,Broom Sitck 20 Piece,2018-08-19 14:07:00
15,Rope (Small) - 5m 20 Piece,2018-08-19 14:05:00
12,Mop 10 Piece,2018-08-19 14:04:00
21,Toilet Brush 20 Piece,2018-08-19 14:03:00
7,Buckets & Mug 100 Piece,2018-08-19 13:58:00
18,Shorts 300 Piece,2018-08-19 11:42:00
6,Brush 20 Piece,2018-08-19 11:41:00
19,Slippers 500 Piece,2018-08-19 11:41:00
1,Baby Hoodies (different sizes) 20 Piece,2018-08-19 10:38:00
4,Broom 50 Piece,2018-08-19 10:20:00
14,Rope 100 Piece,2018-08-19 10:19:00
2,Baby Oils 20 Piece,2018-08-19 10:18:00
24,Waste Disposal Bags 200 Piece,2018-08-19 10:17:00
11,Mats 150 Piece,2018-08-19 10:09:00
0,Waste bin 50 Piece,2018-08-19 10:09:00
13,Pillows 100 Piece,2018-08-19 10:08:00
10,Hair oil 50 Piece,2018-08-19 10:08:00
8,Electric Kettle 20 Piece,2018-08-19 10:08:00
23,Vaporizer 20 Piece,2018-08-19 10:08:00
17,"Shirts for Men (S, M, L, XL size) 500 Piece",2018-08-19 10:07:00
20,"T-Shirts for Men (S, M, L size) 500 Piece",2018-08-19 10:07:00
22,Track Suits 500 Piece,2018-08-19 10:07:00
16,Shimmies (All sizes) 100 Piece,2018-08-19 10:06:00
9,Gents undergarments(size 85 & 90) 400 Piece,2018-08-19 10:05:00
3,Bathroom Buckets and Mugs 100 Piece,2018-08-19 10:03:00
