,item,updated
32,"Undergarments (Men - S,M,L,XL) 200 Piece",2018-08-19 17:25:00
5,Bleaching Powder (Small Packets) 20 Piece,2018-08-19 17:23:00
3,Bedsheets 50 Piece,2018-08-19 17:22:00
4,Blanket 50 Piece,2018-08-19 17:21:00
33,Underskirts for women 200 Piece,2018-08-19 17:19:00
12,Disposable Hygiene Face Cover Mask 600 Piece,2018-08-19 00:30:00
34,Vicks Vaporub 25ml 100 Piece,2018-08-19 00:29:00
11,Cough Syrup Bottles 50 Piece,2018-08-19 00:27:00
22,Paracetamol 500mg Strips 200 Piece,2018-08-19 00:27:00
9,Ciplox eye drops 10 Piece,2018-08-19 00:25:00
26,Petroleum Jelly / Vaseline 50 gm 100 Piece,2018-08-19 00:25:00
7,"Bra (Size - 34, 36, 38) 100 Piece",2018-08-19 00:18:00
25,Pen 10 Piece,2018-08-19 00:18:00
21,Notebooks 5 Piece,2018-08-19 00:18:00
35,Wet Wipes Packets for Babies 50 Piece,2018-08-19 00:17:00
15,"Flip Flops / Slippers / Chappals (Size 4,5,6,7,8) 300 Piece",2018-08-19 00:16:00
29,Socks for Babies 20 Piece,2018-08-19 00:15:00
31,Sweaters 200 Piece,2018-08-19 00:14:00
30,Socks for Kids 100 Piece,2018-08-19 00:14:00
28,Socks for Adults 200 Piece,2018-08-19 00:14:00
16,Floor Broom 30 Piece,2018-08-19 00:13:00
2,Bathroom Plastic Mugs 300 Piece,2018-08-19 00:12:00
20,Mufflers (Age-5yr) 10 Piece,2018-08-19 00:11:00
0,Asthalin / Salbutamol Inhalers (for Wheezing) 50 Piece,2018-08-19 00:10:00
17,Hair Comb 300 Piece,2018-08-19 00:07:00
27,Small pipe connectors 20 Piece,2018-08-19 00:06:00
1,Baby Powder 40 Piece,2018-08-19 00:06:00
14,Extension Cords 30 Piece,2018-08-19 00:01:00
19,Mats 100 Piece,2018-08-19 00:00:00
6,Bottled Drinking Water 1800 Piece,2018-08-19 00:00:00
13,Disposable Surgical Gloves 100 Piece,2018-08-18 23:57:00
10,Cleaning Gloves (Kitchen) 20 Piece,2018-08-18 23:56:00
8,Chopping Knife 20 Piece,2018-08-18 23:54:00
18,Lemon 20 Kg,2018-08-18 23:53:00
24,Pasteurized Milk for Babies 50 Litre,2018-08-18 23:52:00
23,Parachute Coconut Oil 50ml 100 Piece,2018-08-18 23:51:00
