,item,updated
3,Dal (Paripp) 10 Kg,2018-08-19 14:19:00
1,Blankets 100 Piece,2018-08-18 12:58:00
9,Mats 20 Piece,2018-08-18 12:58:00
6,Dress - Kids 40 Piece,2018-08-18 12:57:00
7,Dress - Ladies 40 Piece,2018-08-18 12:57:00
12,Undergarments - Gents 40 Piece,2018-08-18 12:57:00
8,Floor Cleaning Liquid 10 Piece,2018-08-18 12:56:00
13,Undergarments - Kids 20 Piece,2018-08-18 12:56:00
14,Undergarments - Ladies 20 Piece,2018-08-18 12:56:00
2,Broom 10 Piece,2018-08-18 12:55:00
11,Toilet Cleaning Liquid 10 Piece,2018-08-18 12:55:00
4,Detergents 10 Kg,2018-08-18 12:54:00
10,Toilet Cleaning Brush 10 Piece,2018-08-18 12:54:00
0,Bath Soap 10 Piece,2018-08-18 12:53:00
5,Dish Washing Soaps 10 Piece,2018-08-18 12:53:00
