,item,updated
5,"Gents Shirt (L, XL, XXL) 20 Piece",2018-08-19 12:11:00
7,Gents White Double Mundu 20 Piece,2018-08-19 12:11:00
6,"Gents T-Shirt (L, XL, XXL) 20 Piece",2018-08-19 12:10:00
8,Girls Night Dress (5-12yrs) 20 Piece,2018-08-19 12:10:00
0,Bath Soap 20 Piece,2018-08-19 12:09:00
1,Bedsheets 10 Piece,2018-08-19 12:09:00
2,Chappals (Size 9) 10 Piece,2018-08-19 12:09:00
10,Underskirts for women 5 Piece,2018-08-19 12:09:00
3,Churidar Pants 10 Piece,2018-08-19 12:08:00
4,Churidar Tops 10 Piece,2018-08-19 12:08:00
9,Leggings 10 Piece,2018-08-19 12:08:00
