,item,updated
10,"T-Shirts for Men (S,M,L size) 30 Piece",2018-08-19 14:48:00
1,Broom Sitck 15 Piece,2018-08-19 14:46:00
6,Dustbin 10 Piece,2018-08-19 14:46:00
7,Ladies Kurtha/Churidar Tops 50 Piece,2018-08-19 14:45:00
11,Under skirt for women 50 Piece,2018-08-19 14:44:00
3,"Chappal (6,7,8,9 sizes) 30 Piece",2018-08-19 14:43:00
8,Ladies Leggings/Churidar Pants 50 Piece,2018-08-19 14:43:00
0,Baby Food 10 Kg,2018-08-19 11:31:00
2,Buckets 30 Piece,2018-08-19 11:15:00
9,Mugs 30 Piece,2018-08-19 11:15:00
4,Chlorine Powder 5 Kg,2018-08-19 11:14:00
5,Detergents 25 Kg,2018-08-19 11:13:00
