,item,updated
21,Nighty  150 Piece,2018-08-19 18:33:00
31,"Undergarments (Women- S,M,L,XL) 200 Piece",2018-08-19 18:29:00
14,Doxycycline 200mg tablets 100 Piece,2018-08-19 18:26:00
3,Baby Milk Powder 150 Piece,2018-08-19 18:22:00
33,Water Can 250 Litre,2018-08-19 18:20:00
11,Bread Packets 150 Piece,2018-08-19 18:19:00
18,Lungis 100 Piece,2018-08-19 18:19:00
2,Baby Food  200 Piece,2018-08-19 18:18:00
9,Biscuit packs  60 Piece,2018-08-19 18:18:00
20,Masking Tape 5 Piece,2018-08-19 14:43:00
19,Marker  10 Piece,2018-08-19 14:42:00
17,Kit (Big) 25 Piece,2018-08-19 14:42:00
1,Baby Diapers 25 Piece,2018-08-19 14:41:00
28,Tissue Paper 25 Piece,2018-08-19 14:41:00
27,Tisseu Paper 25 Piece,2018-08-19 14:40:00
30,Towels 50 Piece,2018-08-19 14:34:00
25,Sanitary Napkin 50 Piece,2018-08-19 14:33:00
23,Phenoil ( Bottle) 20 Litre,2018-08-19 14:32:00
13,Dettol (Small Bottle) 10 Piece,2018-08-19 14:30:00
10,Bleaching Powder (Small Packets) 20 Piece,2018-08-19 14:29:00
7,Bedsheets 50 Piece,2018-08-19 14:29:00
26,Socks for Babies 20 Piece,2018-08-19 14:29:00
32,Washing Powder  10 Kg,2018-08-19 14:28:00
6,Baby Towel 10 Piece,2018-08-19 14:28:00
24,Rusk Packets (200gm) 20 Piece,2018-08-19 14:26:00
0,Allergy Medicine ( 20gm) 3 Piece,2018-08-19 14:23:00
22,payar 5 Kg,2018-08-19 14:21:00
12,Cooking Oil 10 Litre,2018-08-19 14:21:00
15,Green Gram (Cherupayar) 5 Kg,2018-08-19 14:20:00
8,Bengal Gram (Kadala Payar) 10 Kg,2018-08-19 14:18:00
16,Inner Wear S/M/L (Male & Female) 120 Piece,2018-08-19 14:16:00
29,Toothpaste (50gm) 50 Piece,2018-08-19 14:07:00
5,Baby Soap (75gm or more ) 50 Piece,2018-08-19 14:06:00
4,Baby Oils  50 Piece,2018-08-19 13:56:00
