,item,updated
24,"Undergarments (Men - S,M,L,XL) 30 Piece",2018-08-19 13:14:00
25,"Undergarments for Women (size-80,85,70,75,90) 200 Piece",2018-08-19 13:13:00
8,"Flip Flops / Slippers / Chappals (Size 4,5,6,7,8) 200 Piece",2018-08-19 13:13:00
11,Ladies Kurtha Tops 200 Piece,2018-08-19 13:13:00
6,Detergent Powder 10 Kg,2018-08-19 13:12:00
12,Ladies Leggings 200 Piece,2018-08-19 13:12:00
1,Bleaching Powder (Small Packets) 20 Piece,2018-08-19 13:12:00
7,Detergent Soap 50 Piece,2018-08-19 13:11:00
18,Room Freshner 10 Piece,2018-08-19 13:11:00
26,Waste Disposal Bags 100 Piece,2018-08-19 13:10:00
3,Coffee powder 5 Kg,2018-08-19 13:10:00
4,Cooking Oil 10 Litre,2018-08-19 13:10:00
21,Sugar 10 Kg,2018-08-19 13:10:00
15,Potato 20 Kg,2018-08-19 13:09:00
20,Shallots (small onion - chuvannulli) 5 Kg,2018-08-19 13:09:00
9,Garlic - Veluthulli 5 Kg,2018-08-19 13:09:00
14,Onion (Big) - Savala 10 Kg,2018-08-19 13:08:00
19,Salt 10 Kg,2018-08-19 13:08:00
0,Bengal Gram (Kadala Payar) 10 Kg,2018-08-19 13:07:00
16,Red Kidney Beans (Vanpayar) 5 Kg,2018-08-19 13:07:00
10,Green Gram (Cherupayar) 5 Kg,2018-08-19 13:07:00
23,Turmeric Powder 20 Kg,2018-08-19 13:06:00
5,Coriander powder 20 Kg,2018-08-19 13:06:00
2,Chilly Powder 20 Kg,2018-08-19 13:06:00
13,Mustard Seeds (Kaduku) 5 Kg,2018-08-19 13:06:00
17,Rice 100 Kg,2018-08-19 13:05:00
22,Tea powder 20 Kg,2018-08-19 13:05:00
