,item,updated
4,Jam Bottles 100 Piece,2018-08-18 14:01:00
2,Disposable Paper Cups 2000 Piece,2018-08-18 14:00:00
11,Toothbrush 100 Piece,2018-08-18 14:00:00
16,Waste Disposal Bags 400 Piece,2018-08-18 13:56:00
9,Toilet Cleaning Brush 20 Piece,2018-08-18 13:55:00
10,Toilet Cleaning Liquid 20 Litre,2018-08-18 13:55:00
6,Socks for Adults 100 Piece,2018-08-18 13:53:00
8,T-Shirts for Men (M size) 200 Piece,2018-08-18 13:52:00
7,Socks for Kids 50 Piece,2018-08-18 13:52:00
3,"Flip Flops / Slippers for Children (Size 5yr ,6yr) 50 Piece",2018-08-18 13:52:00
12,Undergarments - Gents 100 Piece,2018-08-18 13:51:00
14,Undergarments - Ladies 100 Piece,2018-08-18 13:51:00
15,Underskirts for Women (M size) 100 Piece,2018-08-18 13:51:00
13,Undergarments - Kids 100 Piece,2018-08-18 13:50:00
5,Men's Lungi 300 Piece,2018-08-18 13:48:00
1,Bread Packets 200 Piece,2018-08-18 13:47:00
0,Biscuit packs 400 Piece,2018-08-18 13:47:00
